
40	0	255	290	6.52	3.14
40	1	208	340	10	0
41	0	249	290	5.94	3.14
41	1	218	340	10	0
42	0	242	290	6.86	3.14
42	1	226	340	8.62	0
43	0	236	290	6.4	3.14
43	1	236	340	9.37	0
44	0	229	290	6.74	3.14
44	1	246	340	10	0
45	0	222	290	6.75	3.14
45	1	256	340	10	0
46	0	215	290	7.09	3.14
46	1	266	340	10	0
47	0	208	290	7.4	3.14
47	1	276	340	10	0
48	0	202	290	5.53	3.14
48	1	284	340	8.61	0
49	0	196	290	6.47	3.14
49	1	294	340	9.9	0
50	0	191	290	5	3.14
50	1	301	340	10	0
51	0	187	290	4.39	3.14
51	1	307	347	10	0.83
52	0	181	290	5.19	3.14
52	1	314	354	9.92	0.83
53	0	174	290	6.93	3.14
53	1	321	362	10	0.83
54	0	166	290	8.72	3.14
54	1	327	369	10	0.83
55	0	157	290	9.14	3.14
55	1	334	376	9.59	0.83
56	0	147	290	9.67	3.14
56	1	341	383	10	0.83
57	0	137	290	10	3.14
57	1	347	391	10	0.83
58	0	127	290	9.48	3.14
58	1	354	397	8.97	0.83
59	0	119	290	8.38	3.14
59	1	360	405	10	0.83
60	0	112	290	6.92	3.14
60	1	367	412	9.54	0.83
61	0	105	290	7.33	3.14
61	1	373	419	10	0.83
62	0	100	290	8.18	3.14
62	1	380	427	10	0.83
63	0	100	281	8.59	-1.57
63	1	386	433	8.99	0.83
64	0	100	271	10	-1.57
64	1	388	435	10	0.83
65	0	100	262	9.25	-1.57
65	1	388	435	9.46	5.54
66	0	100	252	9.62	-1.57
66	1	393	429	7.93	5.54
67	0	100	243	8.61	-1.57
67	1	400	423	8.36	5.54
68	0	100	234	9.41	-1.57
68	1	406	418	8.27	5.54
69	0	100	224	9.97	-1.57
69	1	410	413	6.6	5.54
70	0	100	214	10	-1.57
70	1	415	409	6.35	5.54
71	0	100	204	9.63	-1.57
71	1	421	404	7.57	5.54
72	0	100	195	9.48	-1.57
72	1	424	401	9.53	5.54
73	0	100	187	7.51	-1.57
73	1	424	401	7.86	3.97
74	0	100	180	7.45	-1.57
74	1	420	396	6.96	3.97
75	0	100	173	7.03	-1.57
75	1	415	390	7.38	3.97
76	0	100	164	8.83	-1.57
76	1	409	384	7.94	3.97
77	0	100	156	8.08	-1.57
77	1	403	377	9.5	3.97
78	0	100	149	6.71	-1.57
78	1	397	371	8.83	3.97
79	0	100	144	5.28	-1.57
79	1	390	363	10	3.97
80	0	100	138	6.46	-1.57
80	1	383	356	10	3.97
81	0	100	131	6.99	-1.57
81	1	377	349	9.96	3.97
82	0	100	123	7.53	-1.57
82	1	371	342	8.82	3.97
83	0	100	115	8.43	-1.57
83	1	364	335	9.77	3.97
84	0	100	106	8.8	-1.57
84	1	357	328	10	3.97
85	0	100	96	9.97	-1.57
85	1	351	320	10	3.97
86	0	100	86	10	-1.57
86	1	344	313	9.53	3.97
87	0	100	76	10	-1.57
87	1	338	306	9.35	3.97
88	0	100	67	8.8	-1.57
88	1	332	300	8.64	3.97
89	0	100	60	7.41	-1.57
89	1	327	294	8.07	3.97
90	0	100	53	6.17	-1.57
90	1	323	290	9.17	3.97
91	0	100	50	6	-1.57
91	1	314	290	8.24	3.14
92	0	95	50	4.91	3.14
92	1	305	290	9.54	3.14
93	0	89	50	5.36	3.14
93	1	295	290	10	3.14
94	0	84	50	5.56	3.14
94	1	285	290	10	3.14
95	0	78	50	5.57	3.14
95	1	275	290	10	3.14
96	0	72	50	6.18	3.14
96	1	265	290	10	3.14
97	0	65	50	7.38	3.14
97	1	255	290	10	3.14
98	0	57	50	7.44	3.14
98	1	246	290	9.1	3.14
99	0	50	50	7.67	3.14
99	1	237	290	9.11	3.14
100	0	50	50	8.25	1.57
100	1	227	290	10	3.14
101	0	50	57	7.74	1.57
101	1	217	290	10	3.14
102	0	50	65	8.2	1.57
102	1	207	290	10	3.14
103	0	50	75	9.85	1.57
103	1	197	290	10	3.14
104	0	50	85	10	1.57
104	1	187	290	10	3.14
105	0	50	95	10	1.57
105	1	177	290	10	3.14
106	0	50	105	10	1.57
106	1	167	290	10	3.14
107	0	50	114	9.15	1.57
107	1	157	290	10	3.14
108	0	50	122	8	1.57
108	1	148	290	8.92	3.14
109	0	50	132	9.4	1.57
109	1	138	290	9.62	3.14
110	0	50	140	8.28	1.57
110	1	130	290	8.14	3.14
111	0	50	150	9.75	1.57
111	1	122	290	8.3	3.14
112	0	50	160	10	1.57
112	1	113	290	8.65	3.14
113	0	50	170	10	1.57
113	1	103	290	9.53	3.14
114	0	50	180	10	1.57
114	1	100	290	10	3.14
115	0	50	189	9.2	1.57
115	1	100	280	10	-1.57
116	0	50	199	9.97	1.57
116	1	100	270	9.81	-1.57
117	0	50	209	10	1.57
117	1	100	261	8.89	-1.57
118	0	50	218	8.8	1.57
118	1	100	251	10	-1.57
119	0	50	227	8.85	1.57
119	1	100	241	9.65	-1.57
120	0	50	237	10	1.57
120	1	100	231	10	-1.57
121	0	50	247	10	1.57
121	1	100	223	8.18	-1.57
122	0	50	255	8.74	1.57
122	1	100	214	8.66	-1.57
123	0	50	265	9.12	1.57
123	1	100	204	10	-1.57
124	0	50	273	8.84	1.57
124	1	100	194	10	-1.57
125	0	50	283	10	1.57
125	1	100	184	9.86	-1.57
126	0	50	293	10	1.57
126	1	100	174	10	-1.57
127	0	50	303	10	1.57
127	1	100	164	10	-1.57
128	0	50	313	10	1.57
128	1	100	154	10	-1.57
